Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2000M12,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2001M01,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2001M02,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2001M03,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M04,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2001M05,Granular Superphosphate (16% P),Euro per Tonne,276
Fertiliser Price,2001M06,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M07,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2001M08,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M09,Granular Superphosphate (16% P),Euro per Tonne,278
Fertiliser Price,2001M10,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2001M11,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2001M12,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2002M01,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M02,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2002M03,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M04,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M05,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M06,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M07,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M08,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M09,Granular Superphosphate (16% P),Euro per Tonne,268
Fertiliser Price,2002M10,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2002M11,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2002M12,Granular Superphosphate (16% P),Euro per Tonne,264
Fertiliser Price,2003M01,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2003M02,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M03,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M04,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M05,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2003M06,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2003M07,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,2003M08,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2003M09,Granular Superphosphate (16% P),Euro per Tonne,269
Fertiliser Price,2003M10,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2003M11,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,2003M12,Granular Superphosphate (16% P),Euro per Tonne,265
Fertiliser Price,2004M01,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2004M02,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2004M03,Granular Superphosphate (16% P),Euro per Tonne,275
Fertiliser Price,2004M04,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,2004M05,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,2004M06,Granular Superphosphate (16% P),Euro per Tonne,274
Fertiliser Price,2004M07,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2004M08,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2004M09,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2004M10,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2004M11,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2004M12,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2005M01,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2005M02,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2005M03,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2005M04,Granular Superphosphate (16% P),Euro per Tonne,279
Fertiliser Price,2005M05,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2005M06,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2005M07,Granular Superphosphate (16% P),Euro per Tonne,275
Fertiliser Price,2005M08,Granular Superphosphate (16% P),Euro per Tonne,275
Fertiliser Price,2005M09,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2005M10,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2005M11,Granular Superphosphate (16% P),Euro per Tonne,273
Fertiliser Price,2005M12,Granular Superphosphate (16% P),Euro per Tonne,277
Fertiliser Price,2006M01,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2006M02,Granular Superphosphate (16% P),Euro per Tonne,283
Fertiliser Price,2006M03,Granular Superphosphate (16% P),Euro per Tonne,286
Fertiliser Price,2006M04,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M05,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M06,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M07,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M08,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M09,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M10,Granular Superphosphate (16% P),Euro per Tonne,289
Fertiliser Price,2006M11,Granular Superphosphate (16% P),Euro per Tonne,292
Fertiliser Price,2006M12,Granular Superphosphate (16% P),Euro per Tonne,289
Fertiliser Price,2007M01,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M02,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M03,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M04,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M05,Granular Superphosphate (16% P),Euro per Tonne,292
Fertiliser Price,2007M06,Granular Superphosphate (16% P),Euro per Tonne,292
Fertiliser Price,2007M07,Granular Superphosphate (16% P),Euro per Tonne,293
Fertiliser Price,2007M08,Granular Superphosphate (16% P),Euro per Tonne,293
Fertiliser Price,2007M09,Granular Superphosphate (16% P),Euro per Tonne,303
Fertiliser Price,2007M10,Granular Superphosphate (16% P),Euro per Tonne,303
Fertiliser Price,2007M11,Granular Superphosphate (16% P),Euro per Tonne,303
Fertiliser Price,2007M12,Granular Superphosphate (16% P),Euro per Tonne,367
Fertiliser Price,2008M01,Granular Superphosphate (16% P),Euro per Tonne,474
Fertiliser Price,2008M02,Granular Superphosphate (16% P),Euro per Tonne,507
Fertiliser Price,2008M03,Granular Superphosphate (16% P),Euro per Tonne,517
Fertiliser Price,2008M04,Granular Superphosphate (16% P),Euro per Tonne,530
Fertiliser Price,2008M05,Granular Superphosphate (16% P),Euro per Tonne,545
Fertiliser Price,2008M06,Granular Superphosphate (16% P),Euro per Tonne,562
Fertiliser Price,2008M07,Granular Superphosphate (16% P),Euro per Tonne,562
Fertiliser Price,2008M08,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M09,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M10,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M11,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M12,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2009M01,Granular Superphosphate (16% P),Euro per Tonne,599
Fertiliser Price,2009M02,Granular Superphosphate (16% P),Euro per Tonne,574
Fertiliser Price,2009M03,Granular Superphosphate (16% P),Euro per Tonne,559
Fertiliser Price,2009M04,Granular Superphosphate (16% P),Euro per Tonne,537
Fertiliser Price,2009M05,Granular Superphosphate (16% P),Euro per Tonne,547
Fertiliser Price,2009M06,Granular Superphosphate (16% P),Euro per Tonne,547
Fertiliser Price,2009M07,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2009M08,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2009M09,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2009M10,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2009M11,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2009M12,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2010M01,Granular Superphosphate (16% P),Euro per Tonne,544
Fertiliser Price,2010M02,Granular Superphosphate (16% P),Euro per Tonne,356
Fertiliser Price,2010M03,Granular Superphosphate (16% P),Euro per Tonne,366
Fertiliser Price,2010M04,Granular Superphosphate (16% P),Euro per Tonne,339
Fertiliser Price,2010M05,Granular Superphosphate (16% P),Euro per Tonne,339
Fertiliser Price,2010M06,Granular Superphosphate (16% P),Euro per Tonne,339
Fertiliser Price,2010M07,Granular Superphosphate (16% P),Euro per Tonne,339
Fertiliser Price,2010M08,Granular Superphosphate (16% P),Euro per Tonne,339
Fertiliser Price,2010M09,Granular Superphosphate (16% P),Euro per Tonne,359
Fertiliser Price,2010M10,Granular Superphosphate (16% P),Euro per Tonne,364
Fertiliser Price,2010M11,Granular Superphosphate (16% P),Euro per Tonne,364
Fertiliser Price,2010M12,Granular Superphosphate (16% P),Euro per Tonne,383
Fertiliser Price,2011M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2011M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2012M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2013M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2014M01,Granular Superphosphate (16% P),Euro per Tonne,429
Fertiliser Price,2014M02,Granular Superphosphate (16% P),Euro per Tonne,416
Fertiliser Price,2014M03,Granular Superphosphate (16% P),Euro per Tonne,417
Fertiliser Price,2014M04,Granular Superphosphate (16% P),Euro per Tonne,425
Fertiliser Price,2014M05,Granular Superphosphate (16% P),Euro per Tonne,431
Fertiliser Price,2014M06,Granular Superphosphate (16% P),Euro per Tonne,433
Fertiliser Price,2014M07,Granular Superphosphate (16% P),Euro per Tonne,430
Fertiliser Price,2014M08,Granular Superphosphate (16% P),Euro per Tonne,405
Fertiliser Price,2014M09,Granular Superphosphate (16% P),Euro per Tonne,404
Fertiliser Price,2014M10,Granular Superphosphate (16% P),Euro per Tonne,404
Fertiliser Price,2014M11,Granular Superphosphate (16% P),Euro per Tonne,404
Fertiliser Price,2014M12,Granular Superphosphate (16% P),Euro per Tonne,404
Fertiliser Price,2015M01,Granular Superphosphate (16% P),Euro per Tonne,409
Fertiliser Price,2015M02,Granular Superphosphate (16% P),Euro per Tonne,409
Fertiliser Price,2015M03,Granular Superphosphate (16% P),Euro per Tonne,418
Fertiliser Price,2015M04,Granular Superphosphate (16% P),Euro per Tonne,423
Fertiliser Price,2015M05,Granular Superphosphate (16% P),Euro per Tonne,423
Fertiliser Price,2015M06,Granular Superphosphate (16% P),Euro per Tonne,422
Fertiliser Price,2015M07,Granular Superphosphate (16% P),Euro per Tonne,419
Fertiliser Price,2015M08,Granular Superphosphate (16% P),Euro per Tonne,420
Fertiliser Price,2015M09,Granular Superphosphate (16% P),Euro per Tonne,420
Fertiliser Price,2015M10,Granular Superphosphate (16% P),Euro per Tonne,420
Fertiliser Price,2015M11,Granular Superphosphate (16% P),Euro per Tonne,420
Fertiliser Price,2015M12,Granular Superphosphate (16% P),Euro per Tonne,420
Fertiliser Price,2016M01,Granular Superphosphate (16% P),Euro per Tonne,417
Fertiliser Price,2016M02,Granular Superphosphate (16% P),Euro per Tonne,416
Fertiliser Price,2016M03,Granular Superphosphate (16% P),Euro per Tonne,393
Fertiliser Price,2016M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2016M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2016M06,Granular Superphosphate (16% P),Euro per Tonne,388
Fertiliser Price,2016M07,Granular Superphosphate (16% P),Euro per Tonne,386
Fertiliser Price,2016M08,Granular Superphosphate (16% P),Euro per Tonne,381
Fertiliser Price,2016M09,Granular Superphosphate (16% P),Euro per Tonne,381
Fertiliser Price,2016M10,Granular Superphosphate (16% P),Euro per Tonne,381
Fertiliser Price,2016M11,Granular Superphosphate (16% P),Euro per Tonne,381
Fertiliser Price,2016M12,Granular Superphosphate (16% P),Euro per Tonne,381
Fertiliser Price,2017M01,Granular Superphosphate (16% P),Euro per Tonne,379
Fertiliser Price,2017M02,Granular Superphosphate (16% P),Euro per Tonne,374
Fertiliser Price,2017M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2017M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2018M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2019M09,Granular Superphosphate (16% P),Euro per Tonne,402
Fertiliser Price,2019M10,Granular Superphosphate (16% P),Euro per Tonne,402
Fertiliser Price,2019M11,Granular Superphosphate (16% P),Euro per Tonne,397
Fertiliser Price,2019M12,Granular Superphosphate (16% P),Euro per Tonne,394
Fertiliser Price,2020M01,Granular Superphosphate (16% P),Euro per Tonne,373
Fertiliser Price,2020M02,Granular Superphosphate (16% P),Euro per Tonne,373
Fertiliser Price,2020M03,Granular Superphosphate (16% P),Euro per Tonne,373
Fertiliser Price,2020M04,Granular Superphosphate (16% P),Euro per Tonne,373
Fertiliser Price,2020M05,Granular Superphosphate (16% P),Euro per Tonne,372
Fertiliser Price,2020M06,Granular Superphosphate (16% P),Euro per Tonne,371
Fertiliser Price,2020M07,Granular Superphosphate (16% P),Euro per Tonne,366
Fertiliser Price,2020M08,Granular Superphosphate (16% P),Euro per Tonne,363
Fertiliser Price,2020M09,Granular Superphosphate (16% P),Euro per Tonne,359
Fertiliser Price,2020M10,Granular Superphosphate (16% P),Euro per Tonne,359
Fertiliser Price,2020M11,Granular Superphosphate (16% P),Euro per Tonne,359
Fertiliser Price,2020M12,Granular Superphosphate (16% P),Euro per Tonne,359
Fertiliser Price,2021M01,Granular Superphosphate (16% P),Euro per Tonne,357
Fertiliser Price,2021M02,Granular Superphosphate (16% P),Euro per Tonne,369
Fertiliser Price,2021M03,Granular Superphosphate (16% P),Euro per Tonne,379
Fertiliser Price,2021M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M08,Granular Superphosphate (16% P),Euro per Tonne,458
Fertiliser Price,2021M09,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M10,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2021M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2022M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,2022M02,Granular Superphosphate (16% P),Euro per Tonne,
