Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,1980M01,Skimmed Milk Powder,000 Tonnes,1.6
Production of Dairy Products,1980M02,Skimmed Milk Powder,000 Tonnes,4.4
Production of Dairy Products,1980M03,Skimmed Milk Powder,000 Tonnes,9
Production of Dairy Products,1980M04,Skimmed Milk Powder,000 Tonnes,17.8
Production of Dairy Products,1980M05,Skimmed Milk Powder,000 Tonnes,28.7
Production of Dairy Products,1980M06,Skimmed Milk Powder,000 Tonnes,24.2
Production of Dairy Products,1980M07,Skimmed Milk Powder,000 Tonnes,24.1
Production of Dairy Products,1980M08,Skimmed Milk Powder,000 Tonnes,13.9
Production of Dairy Products,1980M09,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,1980M10,Skimmed Milk Powder,000 Tonnes,5.1
Production of Dairy Products,1980M11,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1980M12,Skimmed Milk Powder,000 Tonnes,1.2
Production of Dairy Products,1981M01,Skimmed Milk Powder,000 Tonnes,1.9
Production of Dairy Products,1981M02,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,1981M03,Skimmed Milk Powder,000 Tonnes,8.6
Production of Dairy Products,1981M04,Skimmed Milk Powder,000 Tonnes,18.8
Production of Dairy Products,1981M05,Skimmed Milk Powder,000 Tonnes,26.4
Production of Dairy Products,1981M06,Skimmed Milk Powder,000 Tonnes,23.2
Production of Dairy Products,1981M07,Skimmed Milk Powder,000 Tonnes,21.4
Production of Dairy Products,1981M08,Skimmed Milk Powder,000 Tonnes,17.2
Production of Dairy Products,1981M09,Skimmed Milk Powder,000 Tonnes,9.4
Production of Dairy Products,1981M10,Skimmed Milk Powder,000 Tonnes,6.5
Production of Dairy Products,1981M11,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,1981M12,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1982M01,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,1982M02,Skimmed Milk Powder,000 Tonnes,7.1
Production of Dairy Products,1982M03,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,1982M04,Skimmed Milk Powder,000 Tonnes,17.1
Production of Dairy Products,1982M05,Skimmed Milk Powder,000 Tonnes,27.4
Production of Dairy Products,1982M06,Skimmed Milk Powder,000 Tonnes,27.2
Production of Dairy Products,1982M07,Skimmed Milk Powder,000 Tonnes,20.8
Production of Dairy Products,1982M08,Skimmed Milk Powder,000 Tonnes,12.9
Production of Dairy Products,1982M09,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1982M10,Skimmed Milk Powder,000 Tonnes,6.5
Production of Dairy Products,1982M11,Skimmed Milk Powder,000 Tonnes,3.7
Production of Dairy Products,1982M12,Skimmed Milk Powder,000 Tonnes,2.5
Production of Dairy Products,1983M01,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1983M02,Skimmed Milk Powder,000 Tonnes,7
Production of Dairy Products,1983M03,Skimmed Milk Powder,000 Tonnes,14.6
Production of Dairy Products,1983M04,Skimmed Milk Powder,000 Tonnes,21.7
Production of Dairy Products,1983M05,Skimmed Milk Powder,000 Tonnes,30.9
Production of Dairy Products,1983M06,Skimmed Milk Powder,000 Tonnes,31
Production of Dairy Products,1983M07,Skimmed Milk Powder,000 Tonnes,24
Production of Dairy Products,1983M08,Skimmed Milk Powder,000 Tonnes,16.8
Production of Dairy Products,1983M09,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1983M10,Skimmed Milk Powder,000 Tonnes,7.1
Production of Dairy Products,1983M11,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1983M12,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,1984M01,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1984M02,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,1984M03,Skimmed Milk Powder,000 Tonnes,15.8
Production of Dairy Products,1984M04,Skimmed Milk Powder,000 Tonnes,24.3
Production of Dairy Products,1984M05,Skimmed Milk Powder,000 Tonnes,34.6
Production of Dairy Products,1984M06,Skimmed Milk Powder,000 Tonnes,32.1
Production of Dairy Products,1984M07,Skimmed Milk Powder,000 Tonnes,26.9
Production of Dairy Products,1984M08,Skimmed Milk Powder,000 Tonnes,18.2
Production of Dairy Products,1984M09,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1984M10,Skimmed Milk Powder,000 Tonnes,4.8
Production of Dairy Products,1984M11,Skimmed Milk Powder,000 Tonnes,2.8
Production of Dairy Products,1984M12,Skimmed Milk Powder,000 Tonnes,2.9
Production of Dairy Products,1985M01,Skimmed Milk Powder,000 Tonnes,5.6
Production of Dairy Products,1985M02,Skimmed Milk Powder,000 Tonnes,8.6
Production of Dairy Products,1985M03,Skimmed Milk Powder,000 Tonnes,12.3
Production of Dairy Products,1985M04,Skimmed Milk Powder,000 Tonnes,19.2
Production of Dairy Products,1985M05,Skimmed Milk Powder,000 Tonnes,31.8
Production of Dairy Products,1985M06,Skimmed Milk Powder,000 Tonnes,25.8
Production of Dairy Products,1985M07,Skimmed Milk Powder,000 Tonnes,23.1
Production of Dairy Products,1985M08,Skimmed Milk Powder,000 Tonnes,15.7
Production of Dairy Products,1985M09,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1985M10,Skimmed Milk Powder,000 Tonnes,5.1
Production of Dairy Products,1985M11,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,1985M12,Skimmed Milk Powder,000 Tonnes,1.7
Production of Dairy Products,1986M01,Skimmed Milk Powder,000 Tonnes,3.3
Production of Dairy Products,1986M02,Skimmed Milk Powder,000 Tonnes,7.8
Production of Dairy Products,1986M03,Skimmed Milk Powder,000 Tonnes,10.3
Production of Dairy Products,1986M04,Skimmed Milk Powder,000 Tonnes,15.9
Production of Dairy Products,1986M05,Skimmed Milk Powder,000 Tonnes,27.8
Production of Dairy Products,1986M06,Skimmed Milk Powder,000 Tonnes,28.1
Production of Dairy Products,1986M07,Skimmed Milk Powder,000 Tonnes,23.5
Production of Dairy Products,1986M08,Skimmed Milk Powder,000 Tonnes,15.4
Production of Dairy Products,1986M09,Skimmed Milk Powder,000 Tonnes,10.8
Production of Dairy Products,1986M10,Skimmed Milk Powder,000 Tonnes,6.4
Production of Dairy Products,1986M11,Skimmed Milk Powder,000 Tonnes,3.3
Production of Dairy Products,1986M12,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,1987M01,Skimmed Milk Powder,000 Tonnes,3.2
Production of Dairy Products,1987M02,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,1987M03,Skimmed Milk Powder,000 Tonnes,9.1
Production of Dairy Products,1987M04,Skimmed Milk Powder,000 Tonnes,16
Production of Dairy Products,1987M05,Skimmed Milk Powder,000 Tonnes,26.6
Production of Dairy Products,1987M06,Skimmed Milk Powder,000 Tonnes,24.4
Production of Dairy Products,1987M07,Skimmed Milk Powder,000 Tonnes,19.2
Production of Dairy Products,1987M08,Skimmed Milk Powder,000 Tonnes,11.8
Production of Dairy Products,1987M09,Skimmed Milk Powder,000 Tonnes,6
Production of Dairy Products,1987M10,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1987M11,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,1987M12,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,1988M01,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1988M02,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1988M03,Skimmed Milk Powder,000 Tonnes,6.8
Production of Dairy Products,1988M04,Skimmed Milk Powder,000 Tonnes,12.4
Production of Dairy Products,1988M05,Skimmed Milk Powder,000 Tonnes,21.9
Production of Dairy Products,1988M06,Skimmed Milk Powder,000 Tonnes,18.4
Production of Dairy Products,1988M07,Skimmed Milk Powder,000 Tonnes,12.9
Production of Dairy Products,1988M08,Skimmed Milk Powder,000 Tonnes,9.9
Production of Dairy Products,1988M09,Skimmed Milk Powder,000 Tonnes,6.1
Production of Dairy Products,1988M10,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,1988M11,Skimmed Milk Powder,000 Tonnes,1.3
Production of Dairy Products,1988M12,Skimmed Milk Powder,000 Tonnes,1.6
Production of Dairy Products,1989M01,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,1989M02,Skimmed Milk Powder,000 Tonnes,6
Production of Dairy Products,1989M03,Skimmed Milk Powder,000 Tonnes,10.5
Production of Dairy Products,1989M04,Skimmed Milk Powder,000 Tonnes,15.6
Production of Dairy Products,1989M05,Skimmed Milk Powder,000 Tonnes,24.6
Production of Dairy Products,1989M06,Skimmed Milk Powder,000 Tonnes,20.6
Production of Dairy Products,1989M07,Skimmed Milk Powder,000 Tonnes,19
Production of Dairy Products,1989M08,Skimmed Milk Powder,000 Tonnes,17.5
Production of Dairy Products,1989M09,Skimmed Milk Powder,000 Tonnes,9.5
Production of Dairy Products,1989M10,Skimmed Milk Powder,000 Tonnes,6.2
Production of Dairy Products,1989M11,Skimmed Milk Powder,000 Tonnes,4.4
Production of Dairy Products,1989M12,Skimmed Milk Powder,000 Tonnes,4.2
Production of Dairy Products,1990M01,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1990M02,Skimmed Milk Powder,000 Tonnes,8.7
Production of Dairy Products,1990M03,Skimmed Milk Powder,000 Tonnes,13
Production of Dairy Products,1990M04,Skimmed Milk Powder,000 Tonnes,19.4
Production of Dairy Products,1990M05,Skimmed Milk Powder,000 Tonnes,29.1
Production of Dairy Products,1990M06,Skimmed Milk Powder,000 Tonnes,28.9
Production of Dairy Products,1990M07,Skimmed Milk Powder,000 Tonnes,29.2
Production of Dairy Products,1990M08,Skimmed Milk Powder,000 Tonnes,25.9
Production of Dairy Products,1990M09,Skimmed Milk Powder,000 Tonnes,16.2
Production of Dairy Products,1990M10,Skimmed Milk Powder,000 Tonnes,9.9
Production of Dairy Products,1990M11,Skimmed Milk Powder,000 Tonnes,6.2
Production of Dairy Products,1990M12,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1991M01,Skimmed Milk Powder,000 Tonnes,4.6
Production of Dairy Products,1991M02,Skimmed Milk Powder,000 Tonnes,11.2
Production of Dairy Products,1991M03,Skimmed Milk Powder,000 Tonnes,18.9
Production of Dairy Products,1991M04,Skimmed Milk Powder,000 Tonnes,26.6
Production of Dairy Products,1991M05,Skimmed Milk Powder,000 Tonnes,34.7
Production of Dairy Products,1991M06,Skimmed Milk Powder,000 Tonnes,27.1
Production of Dairy Products,1991M07,Skimmed Milk Powder,000 Tonnes,24.8
Production of Dairy Products,1991M08,Skimmed Milk Powder,000 Tonnes,14.7
Production of Dairy Products,1991M09,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,1991M10,Skimmed Milk Powder,000 Tonnes,5.1
Production of Dairy Products,1991M11,Skimmed Milk Powder,000 Tonnes,1.5
Production of Dairy Products,1991M12,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1992M01,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1992M02,Skimmed Milk Powder,000 Tonnes,7.3
Production of Dairy Products,1992M03,Skimmed Milk Powder,000 Tonnes,10.7
Production of Dairy Products,1992M04,Skimmed Milk Powder,000 Tonnes,12.5
Production of Dairy Products,1992M05,Skimmed Milk Powder,000 Tonnes,20
Production of Dairy Products,1992M06,Skimmed Milk Powder,000 Tonnes,19.2
Production of Dairy Products,1992M07,Skimmed Milk Powder,000 Tonnes,16.9
Production of Dairy Products,1992M08,Skimmed Milk Powder,000 Tonnes,14.8
Production of Dairy Products,1992M09,Skimmed Milk Powder,000 Tonnes,10.7
Production of Dairy Products,1992M10,Skimmed Milk Powder,000 Tonnes,5.1
Production of Dairy Products,1992M11,Skimmed Milk Powder,000 Tonnes,1.1
Production of Dairy Products,1992M12,Skimmed Milk Powder,000 Tonnes,3.7
Production of Dairy Products,1993M01,Skimmed Milk Powder,000 Tonnes,4.4
Production of Dairy Products,1993M02,Skimmed Milk Powder,000 Tonnes,7.3
Production of Dairy Products,1993M03,Skimmed Milk Powder,000 Tonnes,13.9
Production of Dairy Products,1993M04,Skimmed Milk Powder,000 Tonnes,14.3
Production of Dairy Products,1993M05,Skimmed Milk Powder,000 Tonnes,20.8
Production of Dairy Products,1993M06,Skimmed Milk Powder,000 Tonnes,20.7
Production of Dairy Products,1993M07,Skimmed Milk Powder,000 Tonnes,18.4
Production of Dairy Products,1993M08,Skimmed Milk Powder,000 Tonnes,13.5
Production of Dairy Products,1993M09,Skimmed Milk Powder,000 Tonnes,8.5
Production of Dairy Products,1993M10,Skimmed Milk Powder,000 Tonnes,3.7
Production of Dairy Products,1993M11,Skimmed Milk Powder,000 Tonnes,1.9
Production of Dairy Products,1993M12,Skimmed Milk Powder,000 Tonnes,4.6
Production of Dairy Products,1994M01,Skimmed Milk Powder,000 Tonnes,3.5
Production of Dairy Products,1994M02,Skimmed Milk Powder,000 Tonnes,6.3
Production of Dairy Products,1994M03,Skimmed Milk Powder,000 Tonnes,10.9
Production of Dairy Products,1994M04,Skimmed Milk Powder,000 Tonnes,14.4
Production of Dairy Products,1994M05,Skimmed Milk Powder,000 Tonnes,21.1
Production of Dairy Products,1994M06,Skimmed Milk Powder,000 Tonnes,21.1
Production of Dairy Products,1994M07,Skimmed Milk Powder,000 Tonnes,16.4
Production of Dairy Products,1994M08,Skimmed Milk Powder,000 Tonnes,15.9
Production of Dairy Products,1994M09,Skimmed Milk Powder,000 Tonnes,8.1
Production of Dairy Products,1994M10,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1994M11,Skimmed Milk Powder,000 Tonnes,2.5
Production of Dairy Products,1994M12,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,1995M01,Skimmed Milk Powder,000 Tonnes,4
Production of Dairy Products,1995M02,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,1995M03,Skimmed Milk Powder,000 Tonnes,8.6
Production of Dairy Products,1995M04,Skimmed Milk Powder,000 Tonnes,12.3
Production of Dairy Products,1995M05,Skimmed Milk Powder,000 Tonnes,20.6
Production of Dairy Products,1995M06,Skimmed Milk Powder,000 Tonnes,18.2
Production of Dairy Products,1995M07,Skimmed Milk Powder,000 Tonnes,14.7
Production of Dairy Products,1995M08,Skimmed Milk Powder,000 Tonnes,12.7
Production of Dairy Products,1995M09,Skimmed Milk Powder,000 Tonnes,6
Production of Dairy Products,1995M10,Skimmed Milk Powder,000 Tonnes,5.2
Production of Dairy Products,1995M11,Skimmed Milk Powder,000 Tonnes,3.6
Production of Dairy Products,1995M12,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1996M01,Skimmed Milk Powder,000 Tonnes,3.7
Production of Dairy Products,1996M02,Skimmed Milk Powder,000 Tonnes,5.5
Production of Dairy Products,1996M03,Skimmed Milk Powder,000 Tonnes,5.6
Production of Dairy Products,1996M04,Skimmed Milk Powder,000 Tonnes,13.5
Production of Dairy Products,1996M05,Skimmed Milk Powder,000 Tonnes,20.2
Production of Dairy Products,1996M06,Skimmed Milk Powder,000 Tonnes,17.3
Production of Dairy Products,1996M07,Skimmed Milk Powder,000 Tonnes,18.8
Production of Dairy Products,1996M08,Skimmed Milk Powder,000 Tonnes,17.5
Production of Dairy Products,1996M09,Skimmed Milk Powder,000 Tonnes,8.1
Production of Dairy Products,1996M10,Skimmed Milk Powder,000 Tonnes,4.5
Production of Dairy Products,1996M11,Skimmed Milk Powder,000 Tonnes,2.3
Production of Dairy Products,1996M12,Skimmed Milk Powder,000 Tonnes,1.7
Production of Dairy Products,1997M01,Skimmed Milk Powder,000 Tonnes,1.5
Production of Dairy Products,1997M02,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1997M03,Skimmed Milk Powder,000 Tonnes,4.7
Production of Dairy Products,1997M04,Skimmed Milk Powder,000 Tonnes,13.9
Production of Dairy Products,1997M05,Skimmed Milk Powder,000 Tonnes,16.5
Production of Dairy Products,1997M06,Skimmed Milk Powder,000 Tonnes,17.5
Production of Dairy Products,1997M07,Skimmed Milk Powder,000 Tonnes,14.7
Production of Dairy Products,1997M08,Skimmed Milk Powder,000 Tonnes,11.1
Production of Dairy Products,1997M09,Skimmed Milk Powder,000 Tonnes,7.2
Production of Dairy Products,1997M10,Skimmed Milk Powder,000 Tonnes,4.5
Production of Dairy Products,1997M11,Skimmed Milk Powder,000 Tonnes,3.2
Production of Dairy Products,1997M12,Skimmed Milk Powder,000 Tonnes,2.8
Production of Dairy Products,1998M01,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1998M02,Skimmed Milk Powder,000 Tonnes,2.1
Production of Dairy Products,1998M03,Skimmed Milk Powder,000 Tonnes,4.5
Production of Dairy Products,1998M04,Skimmed Milk Powder,000 Tonnes,9.1
Production of Dairy Products,1998M05,Skimmed Milk Powder,000 Tonnes,15.4
Production of Dairy Products,1998M06,Skimmed Milk Powder,000 Tonnes,13.5
Production of Dairy Products,1998M07,Skimmed Milk Powder,000 Tonnes,13.6
Production of Dairy Products,1998M08,Skimmed Milk Powder,000 Tonnes,12.5
Production of Dairy Products,1998M09,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,1998M10,Skimmed Milk Powder,000 Tonnes,4.8
Production of Dairy Products,1998M11,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1998M12,Skimmed Milk Powder,000 Tonnes,3.6
Production of Dairy Products,1999M01,Skimmed Milk Powder,000 Tonnes,2
Production of Dairy Products,1999M02,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,1999M03,Skimmed Milk Powder,000 Tonnes,7
Production of Dairy Products,1999M04,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,1999M05,Skimmed Milk Powder,000 Tonnes,12.2
Production of Dairy Products,1999M06,Skimmed Milk Powder,000 Tonnes,11.2
Production of Dairy Products,1999M07,Skimmed Milk Powder,000 Tonnes,11.4
Production of Dairy Products,1999M08,Skimmed Milk Powder,000 Tonnes,11.1
Production of Dairy Products,1999M09,Skimmed Milk Powder,000 Tonnes,6.5
Production of Dairy Products,1999M10,Skimmed Milk Powder,000 Tonnes,3.5
Production of Dairy Products,1999M11,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,1999M12,Skimmed Milk Powder,000 Tonnes,3.1
Production of Dairy Products,2000M01,Skimmed Milk Powder,000 Tonnes,4
Production of Dairy Products,2000M02,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,2000M03,Skimmed Milk Powder,000 Tonnes,3.6
Production of Dairy Products,2000M04,Skimmed Milk Powder,000 Tonnes,10.5
Production of Dairy Products,2000M05,Skimmed Milk Powder,000 Tonnes,14.2
Production of Dairy Products,2000M06,Skimmed Milk Powder,000 Tonnes,12.2
Production of Dairy Products,2000M07,Skimmed Milk Powder,000 Tonnes,9.4
Production of Dairy Products,2000M08,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,2000M09,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,2000M10,Skimmed Milk Powder,000 Tonnes,4.1
Production of Dairy Products,2000M11,Skimmed Milk Powder,000 Tonnes,2.1
